t,obj_id
0,3
1,1705
2,3
3,186
4,436
5,6
6,8
7,5
8,0
9,12
10,1
11,2
12,1
13,1
14,241
15,7
16,2
17,30
18,34
19,49
20,691
21,0
22,5
23,2
24,0
25,1
26,6
27,6
28,38
29,9
30,35
31,1
32,0
33,3
34,0
35,5
36,10
37,95
38,422
39,0
40,1165
41,96
42,1737
43,0
44,5
45,14
46,124
47,3
48,9
49,2
50,9
51,15
52,24
53,83
54,1
55,42
56,0
57,36
58,10
59,0
60,2
61,0
62,5
63,6
64,13
65,0
66,92
67,3
68,2
69,552
70,33
71,54
72,18
73,1
74,0
75,1
76,4
77,1
78,12
79,1335
80,115
81,3
82,3
83,175
84,1456
85,37
86,2
87,9
88,0
89,8
90,546
91,1
92,9
93,43
94,1061
95,42
96,9
97,52
98,2
99,0
100,292
101,11
102,825
103,1
104,0
105,16
106,90
107,1757
108,45
109,0
110,23
111,5
112,1
113,254
114,91
115,228
116,35
117,78
118,70
119,2
120,23
121,448
122,5
123,0
124,0
125,0
126,8
127,0
128,65
129,100
130,905
131,119
132,8
133,165
134,139
135,0
136,0
137,1
138,1067
139,5
140,251
141,5
142,50
143,5
144,259
145,16
146,1018
147,237
148,1562
149,3
150,2
151,49
152,83
153,8
154,0
155,2
156,1968
157,3
158,3
159,16
160,0
161,0
162,195
163,13
164,1
165,652
166,2
167,70
168,76
169,0
170,0
171,159
172,0
173,1
174,446
175,21
176,571
177,525
178,105
179,0
180,16
181,2
182,1
183,8
184,217
185,1016
186,15
187,15
188,481
189,28
190,290
191,14
192,1389
193,84
194,10
195,0
196,715
197,0
198,0
199,0
200,311
201,96
202,0
203,0
204,0
205,74
206,4
207,233
208,1235
209,51
210,11
211,441
212,2
213,96
214,0
215,2
216,48
217,125
218,8
219,11
220,125
221,111
222,112
223,623
224,0
225,2
226,117
227,570
228,341
229,9
230,206
231,29
232,0
233,330
234,7
235,0
236,1
237,1
238,0
239,1238
240,8
241,23
242,31
243,1003
244,20
245,4
246,8
247,3
248,135
249,440
250,1
251,0
252,422
253,50
254,890
255,3
256,1
257,603
258,0
259,177
260,200
261,321
262,10
263,1
264,0
265,11
266,1939
267,4
268,19
269,0
270,71
271,305
272,3
273,19
274,2
275,2
276,0
277,7
278,321
279,141
280,81
281,6
282,16
283,36
284,0
285,254
286,2
287,4
288,0
289,10
290,123
291,6
292,18
293,36
294,826
295,343
296,12
297,3
298,281
299,18
300,266
301,0
302,2
303,65
304,32
305,3
306,5
307,4
308,175
309,0
310,1
311,58
312,1
313,33
314,7
315,232
316,176
317,2
318,1
319,0
320,8
321,8
322,107
323,115
324,138
325,78
326,38
327,8
328,1
329,117
330,185
331,0
332,2
333,20
334,2
335,13
336,627
337,3
338,43
339,28
340,4
341,3
342,8
343,0
344,0
345,192
346,0
347,2
348,11
349,237
350,102
351,10
352,109
353,2
354,216
355,0
356,2
357,2
358,6
359,0
360,553
361,4
362,26
363,0
364,13
365,7
366,0
367,16
368,69
369,250
370,91
371,154
372,37
373,81
374,7
375,11
376,4
377,44
378,7
379,21
380,440
381,43
382,16
383,10
384,87
385,122
386,641
387,3
388,11
389,31
390,186
391,16
392,1
393,107
394,0
395,14
396,1776
397,516
398,589
399,1
400,0
401,0
402,144
403,1059
404,1496
405,9
406,123
407,251
408,0
409,20
410,151
411,6
412,13
413,0
414,1
415,0
416,13
417,861
418,36
419,21
420,3
421,0
422,10
423,12
424,3
425,0
426,931
427,42
428,25
429,28
430,31
431,31
432,54
433,2
434,0
435,27
436,224
437,8
438,20
439,0
440,15
441,3
442,222
443,0
444,1
445,164
446,0
447,3
448,19
449,15
450,19
451,1403
452,0
453,75
454,3
455,2
456,0
457,1
458,663
459,709
460,1118
461,15
462,0
463,0
464,2
465,12
466,14
467,446
468,13
469,183
470,2
471,1436
472,906
473,4
474,611
475,35
476,5
477,4
478,11
479,0
480,175
481,2
482,173
483,0
484,11
485,0
486,13
487,78
488,19
489,0
490,963
491,617
492,1078
493,11
494,18
495,1
496,1
497,49
498,105
499,8
500,60
501,65
502,13
503,7
504,906
505,0
506,3
507,558
508,38
509,24
510,13
511,2
512,62
513,23
514,4
515,18
516,21
517,45
518,0
519,0
520,0
521,7
522,22
523,195
524,10
525,328
526,9
527,0
528,0
529,15
530,4
531,0
532,3
533,181
534,1671
535,0
536,0
537,0
538,4
539,5
540,2
541,188
542,2
543,4
544,5
545,8
546,1
547,65
548,21
549,50
550,8
551,3
552,12
553,155
554,965
555,124
556,1
557,6
558,89
559,369
560,2
561,1
562,0
563,75
564,1
565,60
566,22
567,194
568,6
569,30
570,843
571,1
572,6
573,22
574,293
575,6
576,4
577,53
578,6
579,5
580,19
581,1
582,0
583,10
584,26
585,6
586,4
587,18
588,1
589,0
590,9
591,0
592,2
593,5
594,1
595,14
596,45
597,0
598,588
599,47
600,1801
601,300
602,19
603,72
604,31
605,0
606,1181
607,2
608,3
609,0
610,10
611,2
612,230
613,24
614,78
615,2
616,11
617,9
618,1
619,12
620,19
621,75
622,4
623,4
624,21
625,449
626,1
627,209
628,230
629,0
630,7
631,0
632,15
633,416
634,877
635,0
636,0
637,240
638,0
639,289
640,6
641,55
642,773
643,1
644,88
645,27
646,416
647,45
648,103
649,1044
650,6
651,7
652,0
653,269
654,15
655,1851
656,4
657,578
658,7
659,299
660,1
661,0
662,2
663,293
664,378
665,0
666,2
667,50
668,1
669,313
670,525
671,1
672,0
673,6
674,10
675,5
676,27
677,1856
678,1
679,1037
680,119
681,15
682,2
683,0
684,0
685,0
686,6
687,8
688,3
689,343
690,232
691,0
692,27
693,0
694,0
695,1473
696,4
697,4
698,1
699,466
700,0
701,28
702,348
703,200
704,7
705,39
706,0
707,439
708,0
709,28
710,18
711,0
712,0
713,1
714,6
715,87
716,15
717,362
718,97
719,106
720,1
721,71
722,44
723,119
724,73
725,19
726,2
727,1
728,10
729,0
730,15
731,0
732,0
733,1656
734,4
735,588
736,323
737,26
738,1024
739,101
740,0
741,4
742,49
743,6
744,3
745,7
746,6
747,124
748,229
749,109
750,59
751,158
752,4
753,299
754,4
755,325
756,100
757,20
758,0
759,59
760,0
761,2
762,161
763,19
764,2
765,905
766,0
767,163
768,580
769,1
770,1025
771,0
772,1
773,17
774,1852
775,4
776,0
777,32
778,3
779,901
780,1
781,63
782,0
783,49
784,1
785,538
786,1
787,14
788,193
789,0
790,3
791,385
792,171
793,246
794,160
795,63
796,6
797,1527
798,5
799,282
800,41
801,6
802,0
803,0
804,2
805,151
806,67
807,0
808,13
809,1
810,1
811,72
812,9
813,55
814,10
815,551
816,0
817,14
818,0
819,0
820,66
821,0
822,370
823,0
824,0
825,29
826,1
827,76
828,11
829,555
830,81
831,19
832,25
833,573
834,8
835,54
836,127
837,37
838,30
839,45
840,2
841,0
842,7
843,16
844,3
845,30
846,54
847,201
848,61
849,642
850,70
851,3
852,24
853,0
854,46
855,1828
856,101
857,0
858,20
859,0
860,100
861,0
862,84
863,0
864,95
865,42
866,109
867,171
868,19
869,544
870,71
871,7
872,7
873,5
874,5
875,166
876,0
877,2
878,430
879,5
880,116
881,1
882,369
883,0
884,42
885,0
886,30
887,32
888,0
889,2
890,0
891,4
892,0
893,0
894,2
895,1
896,878
897,139
898,0
899,0
900,870
901,24
902,9
903,0
904,0
905,7
906,6
907,5
908,0
909,2
910,84
911,14
912,4
913,212
914,0
915,61
916,1
917,119
918,3
919,0
920,12
921,0
922,127
923,693
924,17
925,169
926,16
927,489
928,1
929,1
930,0
931,3
932,10
933,5
934,0
935,16
936,0
937,6
938,196
939,21
940,30
941,9
942,9
943,0
944,0
945,5
946,271
947,21
948,48
949,432
950,370
951,105
952,12
953,0
954,5
955,3
956,22
957,138
958,431
959,187
960,46
961,24
962,9
963,0
964,3
965,9
966,5
